id;degree;closnesscentrality;betweenesscentrality
AAXJ;15;1.0;103.31738224131534
AHPI;2;0.0;0.0
EEI;3;0.0;0.0
MCEP;4;0.0;0.0
ABCB;4;1.0;224.94658119658115
BABY;1;0.0;0.0
FEYE;7;0.0;0.0
FMBH;19;0.0;0.0
ACAD;9;1.0;107.66865281547345
BBBY;5;0.0;0.0
SGC;2;0.0;0.0
ZIONW;3;0.0;0.0
ACWI;110;0.37544696066746125;13873.795876365313
ADRA;4;0.0;0.0
ADRD;34;0.2804986642920748;310.123479914925
ADRE;14;0.7;148.48229633434067
BYFC;1;0.0;0.0
CCXI;2;0.0;0.0
CEVA;1;0.0;0.0
CFNL;51;0.2536231884057971;4504.302473278632
CHUY;3;0.0;0.0
CIGI;3;0.0;0.0
CIVBP;12;0.29072450392247345;1381.9992016875653
CSPI;4;0.0;0.0
DGRE;9;0.47058823529411764;48.634462771528014
DGRS;32;0.3027390677558866;383.45166050100397
DXCM;3;0.0;0.0
ETRM;8;0.0;0.0
FDML;3;0.0;0.0
FEMS;7;0.0;0.0
FEUZ;15;0.2280955829109341;807.1737823672169
FLDM;3;0.0;0.0
FNSR;12;0.0;0.0
FNX;79;0.38228155339805825;4336.443454674165
FSZ;11;0.2129817444219067;643.393886684534
FTAG;10;0.0;0.0
FTC;97;0.39722572509457754;5008.280191613475
FUNC;8;0.0;0.0
FUND;30;0.0;0.0
FXCM;13;0.0;0.0
FYC;49;0.3425774877650897;8214.415497475633
FYT;28;0.3201219512195122;326.64634703556146
IFEU;5;0.0;0.0
IFON;5;0.0;0.0
IFV;32;0.29207232267037553;1414.241266633962
IPHS;6;0.0;0.0
IVAC;16;0.0;0.0
JKHY;19;1.0;3.48
LMBS;3;0.0;0.0
ONCS;11;0.0;0.0
PPC;6;0.0;0.0
PRFT;17;0.0;0.0
PRFZ;47;0.3507795100222717;1498.381504005548
PSCH;38;0.3388918773534158;7879.36609063819
QNST;20;0.0;0.0
QQEW;61;0.36186099942561745;4425.800020376339
QQQC;9;0.0;0.0
QQQX;28;0.5714285714285714;75.42627591706538
QSII;23;0.0;0.0
RDUS;17;0.0;0.0
RNWK;12;0.0;0.0
SCOR;6;0.0;0.0
SCYX;13;0.0;0.0
SKYW;26;0.0;0.0
TCX;25;0.0;0.0
TOWN;31;0.0;0.0
VALU;31;0.0;0.0
VICR;14;0.0;0.0
VNOM;20;0.0;0.0
VOD;24;0.0;0.0
VONE;82;0.3984819734345351;2474.678914408249
VONG;134;0.4503216583273767;13865.14262760587
VRSK;11;0.0;0.0
VTGN;25;0.0;0.0
VTWG;98;0.42625169147496617;20271.7604081966
VTWO;130;0.45226130653266333;22675.241096316
VTWV;46;0.28885832187070154;345.0674368983335
VWR;26;0.0;0.0
WMIH;9;0.0;0.0
WPCS;7;0.0;0.0
XGTIW;11;0.0;0.0
ACWX;93;0.36820572764465226;18495.95531812116
AIRM;1;0.0;0.0
BRKL;12;0.0;0.0
CARV;3;0.0;0.0
DAVE;2;0.0;0.0
DGLY;2;0.0;0.0
DXPE;3;0.0;0.0
EMCI;2;0.0;0.0
FELE;4;0.0;0.0
FES;2;0.0;0.0
FGEN;4;0.0;0.0
FIZZ;2;0.0;0.0
FKO;2;0.0;0.0
FNJN;4;0.0;0.0
FOXF;1;0.0;0.0
FSTR;2;0.0;0.0
HPJ;2;0.0;0.0
ICFI;3;0.0;0.0
IEUS;2;0.0;0.0
MPET;3;0.0;0.0
NDRM;2;0.0;0.0
QBAK;9;0.0;0.0
